Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,Neighborhood,LandContour,LotConfig,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,SalePrice
1,60,RL,65.0,8450,Reg,CollgCr,Lvl,Inside,Norm,1Fam,2Story,7,5,2003,2003,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,208500
2,20,RL,80.0,9600,Reg,Veenker,Lvl,FR2,Feedr,1Fam,1Story,6,8,1976,1976,MetalSd,MetalSd,,0.0,TA,TA,CBlock,181500
3,60,RL,68.0,11250,IR1,CollgCr,Lvl,Inside,Norm,1Fam,2Story,7,5,2001,2002,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,223500
4,70,RL,60.0,9550,IR1,Crawfor,Lvl,Corner,Norm,1Fam,2Story,7,5,1915,1970,Wd Sdng,Wd Shng,,0.0,TA,TA,BrkTil,140000
5,60,RL,84.0,14260,IR1,NoRidge,Lvl,FR2,Norm,1Fam,2Story,8,5,2000,2000,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,250000
6,50,RL,85.0,14115,IR1,Mitchel,Lvl,Inside,Norm,1Fam,1.5Fin,5,5,1993,1995,VinylSd,VinylSd,,0.0,TA,TA,Wood,143000
7,20,RL,75.0,10084,Reg,Somerst,Lvl,Inside,Norm,1Fam,1Story,8,5,2004,2005,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,307000
8,60,RL,,10382,IR1,NWAmes,Lvl,Corner,PosN,1Fam,2Story,7,6,1973,1973,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,200000
9,50,RM,51.0,6120,Reg,OldTown,Lvl,Inside,Artery,1Fam,1.5Fin,7,5,1931,1950,BrkFace,Wd Shng,,0.0,TA,TA,BrkTil,129900
10,190,RL,50.0,7420,Reg,BrkSide,Lvl,Corner,Artery,2fmCon,1.5Unf,5,6,1939,1950,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,118000
11,20,RL,70.0,11200,Reg,Sawyer,Lvl,Inside,Norm,1Fam,1Story,5,5,1965,1965,HdBoard,HdBoard,,0.0,TA,TA,CBlock,129500
12,60,RL,85.0,11924,IR1,NridgHt,Lvl,Inside,Norm,1Fam,2Story,9,5,2005,2006,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,345000
13,20,RL,,12968,IR2,Sawyer,Lvl,Inside,Norm,1Fam,1Story,5,6,1962,1962,HdBoard,Plywood,,0.0,TA,TA,CBlock,144000
